time,push,resist,retreat,tube test
459.06,0,0,0,0
459.093,0,0,0,0
459.126,0,0,0,0
459.159,0,0,0,0
459.192,0,0,0,0
459.225,0,0,0,0
459.258,0,0,0,0
459.291,0,0,0,0
459.324,0,0,0,0
459.357,0,0,0,0
459.39,0,0,0,0
459.423,0,0,0,0
459.456,0,0,0,0
459.489,0,0,0,0
459.522,0,0,0,0
459.555,0,0,0,0
459.588,0,0,0,0
459.621,0,0,0,0
459.654,0,0,0,0
459.687,0,0,0,0
459.72,0,0,0,0
459.753,0,0,0,0
459.786,0,0,0,0
459.819,0,0,0,0
459.852,0,0,0,0
459.885,0,0,0,0
459.918,0,0,0,0
459.951,0,0,0,0
459.984,0,0,0,0
460.017,0,0,0,0
460.05,0,0,0,0
460.083,0,0,0,0
460.116,0,0,0,0
460.149,0,0,0,0
460.182,0,0,0,0
460.215,0,0,0,0
460.248,0,0,0,0
460.281,0,0,0,0
460.314,0,0,0,0
460.347,0,0,0,0
460.38,0,0,0,0
460.413,0,0,0,0
460.446,0,0,0,0
460.479,0,0,0,0
460.512,0,0,0,0
460.545,0,0,0,0
460.578,0,0,0,0
460.611,0,0,0,0
460.644,0,0,0,0
460.677,0,0,0,0
460.71,0,0,0,0
460.743,0,0,0,0
460.776,0,0,0,0
460.809,0,0,0,0
460.842,0,0,0,0
460.875,0,0,0,0
460.908,0,0,0,0
460.941,0,0,0,0
460.974,0,0,0,0
461.007,0,0,0,0
461.04,0,0,0,0
461.073,0,0,0,0
461.106,0,0,0,0
461.139,0,0,0,0
461.172,0,0,0,0
461.205,0,0,0,0
461.238,0,0,0,0
461.271,0,0,0,0
461.304,0,0,0,0
461.337,0,0,0,0
461.37,0,0,0,0
461.403,0,0,0,0
461.436,0,0,0,0
461.469,0,0,0,0
461.502,0,0,0,0
461.535,0,0,0,0
461.568,0,0,0,0
461.601,0,0,0,0
461.634,0,0,0,0
461.667,0,0,0,0
461.7,0,0,0,0
461.733,0,0,0,0
461.766,0,0,0,0
461.799,0,0,0,0
461.832,0,0,0,0
461.865,0,0,0,0
461.898,0,0,0,0
461.931,0,0,0,0
461.964,0,0,0,0
461.997,0,0,0,0
462.03,0,0,0,0
462.063,0,0,0,0
462.096,0,0,0,0
462.129,0,0,0,0
462.162,0,0,0,0
462.195,0,0,0,0
462.228,0,0,0,0
462.261,0,0,0,0
462.294,0,0,0,0
462.327,0,0,0,0
462.36,0,0,0,0
462.393,0,0,0,0
462.426,0,0,0,0
462.459,0,0,0,0
462.492,0,0,0,0
462.525,0,0,0,0
462.558,0,0,0,0
462.591,0,0,0,0
462.624,0,0,0,0
462.657,0,0,0,0
462.69,0,0,0,0
462.723,0,0,0,0
462.756,0,0,0,0
462.789,0,0,0,0
462.822,0,0,0,0
462.855,0,0,0,0
462.888,0,0,0,0
462.921,0,0,0,0
462.954,0,0,0,0
462.987,0,0,0,0
463.02,0,0,0,0
463.053,0,0,0,0
463.086,0,0,0,0
463.119,0,0,0,0
463.152,0,0,0,0
463.185,0,0,0,0
463.218,0,0,0,0
463.251,0,0,0,0
463.284,0,0,0,0
463.317,0,0,0,0
463.35,0,0,0,0
463.383,0,0,0,0
463.416,0,0,0,0
463.449,0,0,0,0
463.482,0,0,0,0
463.515,0,0,0,0
463.548,0,0,0,0
463.581,0,0,0,0
463.614,0,0,0,0
463.647,0,0,0,0
463.68,0,0,0,0
463.713,0,0,0,0
463.746,0,0,0,0
463.779,0,0,0,0
463.812,0,0,0,0
463.845,0,0,0,0
463.878,0,0,0,0
463.911,0,0,0,0
463.944,0,0,0,0
463.977,0,0,0,0
464.01,0,0,0,0
464.043,0,0,0,0
464.076,0,0,0,0
464.109,0,0,0,0
464.142,0,0,0,0
464.175,0,0,0,0
464.208,0,0,0,0
464.241,0,0,0,0
464.274,0,0,0,0
464.307,0,0,0,0
464.34,0,0,0,0
464.373,0,0,0,0
464.406,0,0,0,0
464.439,0,0,0,0
464.472,0,0,0,0
464.505,0,0,0,0
464.538,0,0,0,0
464.571,0,0,0,0
464.604,0,0,0,0
464.637,0,0,0,0
464.67,0,0,0,0
464.703,0,0,0,0
464.736,0,0,0,0
464.769,0,0,0,0
464.802,0,0,0,0
464.835,0,0,0,0
464.868,0,0,0,0
464.901,0,0,0,0
464.934,0,0,0,0
464.967,0,0,0,0
465.0,0,0,0,1
465.033,0,0,0,1
465.066,0,0,0,1
465.099,0,0,0,1
465.132,0,0,0,1
465.165,0,0,0,1
465.198,0,0,0,1
465.231,0,0,0,1
465.264,0,0,0,1
465.297,0,0,0,1
465.33,0,0,0,1
465.363,0,0,0,1
465.396,0,0,0,1
465.429,0,0,0,1
465.462,0,0,0,1
465.495,0,0,0,1
465.528,0,0,0,1
465.561,0,0,0,1
465.594,0,0,0,1
465.627,0,0,0,1
465.66,0,0,0,1
465.693,0,0,0,1
465.726,0,0,0,1
465.759,0,0,0,1
465.792,0,0,0,1
465.825,0,0,0,1
465.858,0,0,0,1
465.891,0,0,0,1
465.924,0,0,0,1
465.957,0,0,0,1
465.99,0,0,0,1
466.023,0,0,0,1
466.056,0,0,0,1
466.089,0,0,0,1
466.122,0,0,0,1
466.155,0,0,0,1
466.188,0,0,0,1
466.221,0,0,0,1
466.254,0,0,0,1
466.287,0,0,0,1
466.32,0,0,0,1
466.353,0,0,0,1
466.386,0,0,0,1
466.419,0,0,0,1
466.452,0,0,0,1
466.485,0,0,0,1
466.518,0,0,0,1
466.551,0,0,0,1
466.584,0,0,0,1
466.617,0,0,0,1
466.65,0,0,0,1
466.683,0,0,0,1
466.716,0,0,0,1
466.749,0,0,0,1
466.782,0,0,0,1
466.815,0,0,0,1
466.848,0,0,0,1
466.881,0,0,0,1
466.914,0,0,0,1
466.947,0,0,0,1
466.98,0,0,0,1
467.013,0,0,0,1
467.046,0,0,0,1
467.079,0,0,0,1
467.112,0,0,0,1
467.145,0,0,0,1
467.178,0,0,0,1
467.211,0,0,0,1
467.244,0,0,0,1
467.277,0,0,0,1
467.31,0,0,0,1
467.343,0,0,0,1
467.376,0,0,0,1
467.409,0,0,0,1
467.442,0,0,0,1
467.475,0,0,0,1
467.508,0,0,0,1
467.541,0,0,0,1
467.574,0,0,0,1
467.607,0,0,0,1
467.64,0,0,0,1
467.673,0,0,0,1
467.706,0,0,0,1
467.739,0,0,0,1
467.772,0,0,0,1
467.805,0,0,0,1
467.838,0,0,0,1
467.871,0,0,0,1
467.904,0,0,0,1
467.937,0,0,0,1
467.97,0,0,0,1
468.003,0,0,0,1
468.036,0,0,0,1
468.069,0,0,0,1
468.102,0,0,0,1
468.135,0,0,0,1
468.168,0,0,0,1
468.201,0,0,0,1
468.234,0,0,0,1
468.267,0,0,0,1
468.3,0,0,0,1
468.333,0,0,0,1
468.366,0,0,0,1
468.399,0,0,0,1
468.432,0,0,0,1
468.465,0,0,0,1
468.498,0,0,0,1
468.531,0,0,0,1
468.564,0,0,0,1
468.597,0,0,0,1
468.63,0,0,0,1
468.663,0,0,0,1
468.696,0,0,0,1
468.729,0,0,0,1
468.762,0,0,0,1
468.795,0,0,0,1
468.828,0,0,0,1
468.861,0,0,0,1
468.894,0,0,0,1
468.927,0,0,0,1
468.96,0,0,0,1
468.993,0,0,0,1
469.026,0,0,0,1
469.059,0,0,0,1
469.092,0,0,0,1
469.125,0,0,0,1
469.158,0,0,0,1
469.191,0,0,0,1
469.224,0,0,0,1
469.257,0,0,0,1
469.29,0,0,0,1
469.323,0,0,0,1
469.356,0,0,0,1
469.389,0,0,0,1
469.422,0,0,0,1
469.455,0,0,0,1
469.488,0,0,0,1
469.521,0,0,0,1
469.554,0,0,0,1
469.587,0,0,0,1
469.62,0,0,0,1
469.653,0,0,0,1
469.686,0,0,0,1
469.719,0,0,0,1
469.752,0,0,0,1
469.785,0,0,0,1
469.818,0,0,0,1
469.851,0,0,0,1
469.884,0,0,0,1
469.917,0,0,0,1
469.95,0,0,0,1
469.983,0,0,0,1
470.016,0,0,0,1
470.049,0,0,0,1
470.082,0,0,0,1
470.115,0,0,0,1
470.148,0,0,0,1
470.181,0,0,0,1
470.214,0,0,0,1
470.247,0,0,0,1
470.28,0,0,0,1
470.313,0,0,0,1
470.346,0,0,0,1
470.379,0,0,0,1
470.412,0,0,0,1
470.445,0,0,0,1
470.478,0,0,0,1
470.511,0,0,0,1
470.544,0,0,0,1
470.577,0,0,0,1
470.61,0,0,0,1
470.643,0,0,0,1
470.676,0,0,0,1
470.709,0,0,0,1
470.742,0,0,0,1
470.775,0,0,0,1
470.808,0,0,0,1
470.841,0,0,0,1
470.874,0,0,0,1
470.907,0,0,0,1
470.94,0,0,0,1
470.973,0,0,0,1
471.006,0,0,0,1
471.039,0,0,0,1
471.072,0,0,0,1
471.105,0,0,0,1
471.138,0,0,0,1
471.171,0,0,0,1
471.204,0,0,0,1
471.237,0,0,0,1
471.27,0,0,0,1
471.303,0,0,0,1
471.336,0,0,0,1
471.369,0,0,0,1
471.402,0,0,0,1
471.435,0,0,0,1
471.468,0,0,0,1
471.501,0,0,0,1
471.534,0,0,0,1
471.567,0,0,0,1
471.6,0,0,0,1
471.633,0,0,0,1
471.666,0,0,0,1
471.699,0,0,0,1
471.732,0,0,0,1
471.765,0,0,0,1
471.798,0,0,0,1
471.831,0,0,0,1
471.864,0,0,0,1
471.897,0,0,0,1
471.93,0,0,0,1
471.963,0,0,0,1
471.996,0,0,0,1
472.029,0,0,0,1
472.062,0,0,0,1
472.095,0,0,0,1
472.128,0,0,0,1
472.161,0,0,0,1
472.194,0,0,0,1
472.227,0,0,0,1
472.26,0,0,0,1
472.293,0,0,0,1
472.326,0,0,0,1
472.359,0,0,0,1
472.392,0,0,0,1
472.425,0,0,0,1
472.458,0,0,0,1
472.491,0,0,0,1
472.524,0,0,0,1
472.557,0,0,0,1
472.59,0,0,0,1
472.623,0,0,0,1
472.656,0,0,0,1
472.689,0,0,0,1
472.722,0,0,0,1
472.755,0,0,0,1
472.788,0,0,0,1
472.821,0,0,0,1
472.854,0,0,0,1
472.887,0,0,0,1
472.92,0,0,0,1
472.953,0,0,0,1
472.986,0,0,0,1
473.019,0,0,0,1
473.052,0,0,0,1
473.085,0,0,0,1
473.118,0,0,0,1
473.151,0,0,0,1
473.184,0,0,0,1
473.217,0,0,0,1
473.25,0,0,0,1
473.283,0,0,0,1
473.316,0,0,0,1
473.349,0,0,0,1
473.382,0,0,0,1
473.415,0,0,0,1
473.448,0,0,0,1
473.481,0,0,0,1
473.514,0,0,0,1
473.547,0,0,0,1
473.58,0,0,0,1
473.613,0,0,0,1
473.646,0,0,0,1
473.679,0,0,0,1
473.712,0,0,0,1
473.745,0,0,0,1
473.778,0,0,0,1
473.811,0,0,0,1
473.844,0,0,0,1
473.877,0,0,0,1
473.91,0,0,0,1
473.943,0,0,0,1
473.976,0,0,0,1
474.009,0,0,0,1
474.042,0,0,0,1
474.075,0,0,0,1
474.108,0,0,0,1
474.141,0,0,0,1
474.174,0,0,0,1
474.207,0,0,0,1
474.24,0,0,0,1
474.273,0,0,0,1
474.306,0,0,0,1
474.339,0,0,0,1
474.372,0,0,0,1
474.405,0,0,0,1
474.438,0,0,0,1
474.471,0,0,0,1
474.504,0,0,0,1
474.537,0,0,0,1
474.57,0,0,0,1
474.603,0,0,0,1
474.636,0,0,0,1
474.669,0,0,0,1
474.702,0,0,0,1
474.735,0,0,0,1
474.768,0,0,0,1
474.801,0,0,0,1
474.834,0,0,0,1
474.867,0,0,0,1
474.9,0,0,0,1
474.933,0,0,0,1
474.966,0,0,0,1
474.999,0,0,0,1
475.032,0,0,0,1
475.065,0,0,0,1
475.098,0,0,0,1
475.131,0,0,0,1
475.164,0,0,0,1
475.197,0,0,0,1
475.23,0,0,0,1
475.263,0,0,0,1
475.296,0,0,0,1
475.329,0,0,0,1
475.362,0,0,0,1
475.395,0,0,0,1
475.428,0,0,0,1
475.461,0,0,0,1
475.494,0,0,0,1
475.527,0,0,0,1
475.56,0,0,0,1
475.593,0,0,0,1
475.626,0,0,0,1
475.659,0,0,0,1
475.692,0,0,0,1
475.725,0,0,0,1
475.758,0,0,0,1
475.791,0,0,0,1
475.824,0,0,0,1
475.857,0,0,0,1
475.89,0,0,0,1
475.923,0,0,0,1
475.956,0,0,0,1
475.989,0,0,0,1
476.022,0,0,0,1
476.055,0,0,0,1
476.088,0,0,0,1
476.121,0,0,0,1
476.154,0,0,0,1
476.187,0,0,0,1
476.22,0,0,0,1
476.253,0,0,0,1
476.286,0,0,0,1
476.319,0,0,0,1
476.352,0,0,0,1
476.385,0,0,0,1
476.418,0,0,0,1
476.451,0,0,0,1
476.484,0,0,0,1
476.517,0,0,0,1
476.55,0,0,0,1
476.583,0,0,0,1
476.616,0,0,0,1
476.649,0,0,0,1
476.682,0,0,0,1
476.715,0,0,0,1
476.748,0,0,0,1
476.781,0,0,0,1
476.814,0,0,0,1
476.847,0,0,0,1
476.88,0,0,0,1
476.913,0,0,0,1
